Date,Date,Open,High,Low,Close,Adj Close,Volume
43654,7/8/2019,231.240005,232.25,228.660004,230.339996,230.339996,5880500
43655,7/9/2019,228.970001,231,227.279999,230.059998,230.059998,6190800
43656,7/10/2019,234.149994,238.940002,233.139999,238.919998,238.919998,9145700
43657,7/11/2019,238.139999,241.5,235.800003,238.600006,238.600006,7514400
43658,7/12/2019,239.75,245.380005,239.710007,245.080002,245.080002,9200500
43661,7/15/2019,248,254.419998,244.860001,253.5,253.5,11000100
43662,7/16/2019,249.300003,253.529999,247.929993,252.380005,252.380005,8149000
43663,7/17/2019,255.669998,258.309998,253.350006,254.860001,254.860001,9764700
43664,7/18/2019,255.050003,255.75,251.889999,253.539993,253.539993,4764500
43665,7/19/2019,255.690002,259.959991,254.619995,258.179993,258.179993,7048400
43668,7/22/2019,258.75,262.149994,254.190002,255.679993,255.679993,6842400
43669,7/23/2019,256.709991,260.480011,254.5,260.170013,260.170013,5023100
43670,7/24/2019,259.170013,266.070007,258.160004,264.880005,264.880005,11072800
43671,7/25/2019,233.5,234.5,225.550003,228.820007,228.820007,22418300
43672,7/26/2019,226.919998,230.259995,222.25,228.039993,228.039993,10027700
43675,7/29/2019,227.089996,235.940002,226.029999,235.770004,235.770004,9273300
43676,7/30/2019,232.899994,243.360001,232.179993,242.259995,242.259995,8109000
43677,7/31/2019,243,246.679993,236.649994,241.610001,241.610001,9178200
43678,8/1/2019,242.649994,244.509995,231.770004,233.850006,233.850006,8259500
43679,8/2/2019,231.350006,236.270004,229.229996,234.339996,234.339996,6136500
43682,8/5/2019,229.600006,231.369995,225.779999,228.320007,228.320007,7028300
43683,8/6/2019,231.880005,232.5,225.75,230.75,230.75,5564200
43684,8/7/2019,226.5,233.570007,225.800003,233.419998,233.419998,4776500
43685,8/8/2019,234.449997,239.800003,232.649994,238.300003,238.300003,5274300
43686,8/9/2019,236.050003,238.960007,233.809998,235.009995,235.009995,3898200
43689,8/12/2019,232.990005,235.770004,228.75,229.009995,229.009995,4663900
43690,8/13/2019,228.809998,236,227.550003,235,235,4848100
43691,8/14/2019,231.210007,231.5,216.690002,219.619995,219.619995,9562600
